电影名,评分,导演,演员,月份,类型,时长,语言,评论数,地区
['一个明星的诞生 A Star Is Born'],['7.3'],['布莱德利·库珀'],"['Lady Gaga', '布莱德利·库珀', '山姆·艾里奥特', '安德鲁·戴斯·克雷', '拉菲·格拉沃恩', '安东尼·拉莫斯', '大卫·查普尔', '亚历克·鲍德温', '马龙·威廉姆斯', '布兰迪·卡莉', '朗·瑞弗金', '巴里·沙巴卡·亨利', '迈克尔·D·罗伯茨', '迈克尔·哈尔尼', '丽贝卡·菲尔德', '威廉·贝利', '格雷戈·格伦伯格', 'D·J·尚格拉·皮尔斯', '德瑞娜·德尼罗', '艾迪·格里芬', '哈尔希', '马修·利巴提克', '路奈尔·坎贝尔', '唐·渥斯', '伦尼·卡斯特罗', '唐·罗伊·金', '格雷戈里·斯卡尔尼奇', '弗兰克·安妮罗', '杰尔马诺·布兰科', '梅根·豪恩', '马克·查普曼', '史蒂文·西塞罗', '阿曼达·菲尔茨', '阿尔弗雷德·加比杜林', '弗雷德里克·基夫']","['08', '10']","['剧情', '爱情', '音乐']",['135'],[' 英语'],['97451'],[' 美国']
['罗马 Roma'],['8.2'],['阿方索·卡隆'],"['雅利扎·阿巴里西奥', '玛丽娜·德·塔维拉', '迭戈·科蒂娜·奥特里', '卡洛斯·佩拉尔塔', '马科·格拉夫', '丹妮拉·德米萨', '南茜·加西亚', '维罗妮卡·加西亚', '安迪·科特斯', '费尔南多·格雷迪亚加', '豪尔赫·安东尼奥·格雷罗', '拉丁·洛弗']","['08', '12']","['剧情', '家庭']",['135'],[' 西班牙语 / 英语 / 日语 / 德语 / 法语 / 挪威语'],['112852'],[' 美国 / 墨西哥']
['瘦身大作战 Я худею'],['7.4'],['Aleksey Nuzhnyy'],['亚历山德拉·伯蒂奇'],['03'],['喜剧'],['102'],[' 俄语'],['834'],[' 俄罗斯']
['无主之作 Werk ohne Autor'],['8.6'],['弗洛里安·亨克尔·冯·多纳斯马尔克'],"['汤姆·希林', '塞巴斯蒂安·科赫', '葆拉·贝尔', '莎斯琪亚·罗森道尔', '奥利弗·马苏奇', '叶甫根尼·希迪金', '马克·扎克', '乌尔里克·C·扎勒', '巴斯蒂安·特罗斯特', '汉斯-尤韦·鲍尔', '汉诺·科夫勒', '辛纳克·勋纳曼', '詹妮特·海因', '乔切·舒托夫', '约翰娜·加斯多夫', '弗罗里安·巴西奥罗麦', '本·贝克']","['09', '10']",['剧情'],['189'],[' 德语 / 俄语'],['46460'],[' 德国 / 意大利']
['看不见的女人 A vida invisível de Eurídice Gusmão'],['7.8'],['卡里姆·埃诺兹'],"['朱莉娅·斯托克勒', '卡罗尔·杜阿尔特', '弗拉维亚·古兹曼', '安托尼欧·方塞卡', '雨果·克鲁兹', '尼古拉斯·安东尼', '马丽亚·曼诺埃拉', '格莱郭廖· 杜威维埃', '塞缪尔·托莱多', '卢安娜·泽维尔', '纳尔逊·费雷拉', '安德丽莎·卡布拉尔', '卢米·金', '雪莉·克鲁兹', '芭芭拉·桑托斯', '马西奥·维托', '爱德华多·托纳吉', '伊萨克·达霍拉', '费尔南多·塞兰', '弗拉维奥·保乌拉奇', '拉斐尔·拉波索', '克劳迪奥·加布里埃尔', '克里斯蒂娜·佩雷拉', '费尔兰德·蒙特纳哥']",[],['剧情'],['145'],[' 葡萄牙语'],['3618'],[' 巴西']
['小飞象 Dumbo'],['6.7'],['蒂姆·波顿'],"['伊娃·格林', '科林·法瑞尔', '迈克尔·基顿', '妮可·帕克', '芬利·霍宾斯', '丹尼·德维托', '艾伦·阿金', '卡米尔·雷米泽斯基', '约瑟夫·盖特', '桑迪·马丁', '乔·奥斯蒙德', '莎朗·鲁妮', '拉斯·艾丁格', '罗珊·塞斯', '道比·欧帕瑞', '迈克尔·巴佛', '杰茜·维宁', '伯纳多·桑托斯', '贝恩·科拉科', '文森特·阿德里安', '菲利普·罗施', '露西·德维托', '拉普洛斯·卡伦福佐斯', '阿梅吉特·德尤', '史蒂芬·萨姆森', '埃里克·海登']",[],"['奇幻', '冒险']",['112'],[' 英语'],['56878'],[' 美国']
['标准之外 Hors normes'],['8.3'],"['奥利维埃·纳卡什', '埃里克·托莱达诺']","['文森特·卡索', '勒达·卡代布', '海伦·文森特', '阿尔班·伊万诺夫', '凯瑟琳·蒙切特', '弗雷德里克·皮耶罗', '苏丽安·卜拉欣', '琳娜·库德里', '阿罗伊斯·索维奇', '海迪·布奇纳法', 'Bryan Mialoundama', 'Benjamin Lesieur', 'Marco Locatelli', 'Djibril Yoni', 'Ahmed Abdel Laoui', 'Darren Muselet', 'Diong-Kéba Tacu']",[],"['剧情', '喜剧']",['114'],[' 法语'],['7102'],[' 法国']
['准备好了没 Ready or Not'],['6.7'],"['马特·贝蒂内利-奥尔平', '泰勒·吉勒特']","['萨玛拉·维文', '安迪·麦克道威尔', '马克·奥布莱恩', '亚当·布罗迪', '亨利·科泽尼', '妮基·瓜达尼', '梅兰妮·斯科洛凡诺', '克里斯蒂安·布鲁恩', '伊利斯·莱韦斯克', '约翰·拉尔斯顿', '达妮埃拉·巴博萨', '伊拉娜·盖尔', '安德鲁·安东尼']",[],"['悬疑', '惊悚', '恐怖']",['95'],[' 英语'],['53045'],[' 加拿大 / 美国']
['美好年代 La belle époque'],['8.1'],['尼古拉斯·贝多斯'],"['丹尼尔·奥特伊', '吉约姆·卡内', '多莉亚·蒂利耶', '芬妮·阿尔丹', '皮埃尔·阿迪提', '德尼·波达利德斯']",[],"['剧情', '喜剧', '爱情']",['115'],[' 法语'],['11358'],[' 法国']
['教宗的承继 The Two Popes'],['8.6'],['费尔南多·梅里尔斯'],"['安东尼·霍普金斯', '乔纳森·普雷斯', '胡安·米努欣', '路易斯·尼科', '克里斯蒂娜·巴尼加斯', '玛丽亚·乌斯多', '雷纳托·斯卡帕', '西德尼·科尔', '阿基里·布鲁尼尼', '费德里科·托瑞', '赫尔曼·德·席尔瓦', '利桑德罗·菲克斯', '利贝罗·德·瑞恩佐', '威利·乔纳', '索非亚·塞萨克', '文森特·里奥特', '塞奇莉亚·达齐', '塞尔吉奥·尼古拉', '洛伦佐·维格万诺', '教皇本尼迪克特十六世', '方济各']",[],"['剧情', '传记']",['125'],[' 拉丁语 / 英语 / 西班牙语 / 意大利语 / 法语 / 葡萄牙语 / 德语'],['33489'],[' 英国 / 意大利']
['闺蜜2'],['2.7'],['黄真真'],"['薛凯琪', '陈意涵', '张钧甯', '迈克·泰森', '王水林', '陈宝山', '阮金红', '范湉湉']",['03'],"['喜剧', '爱情']",['109'],[' 汉语普通话'],['20906'],[' 中国香港 / 中国大陆']
['雪暴'],['6.2'],['崔斯韦'],"['张震', '倪妮', '廖凡', '黄觉', '刘桦', '张奕聪', '李光洁', '岳小军', '昌隆']",['10'],"['动作', '悬疑', '犯罪']",['111'],[' 汉语普通话'],['52669'],[' 中国大陆']
['bilibili晚会二零一九最美的夜'],['9.1'],['宫鹏'],"['朱广权', '陈超', '周延', '彭磊', '赵梦', '庞宽', '冯提莫', '陈乐一', '张光北', '胡彦斌', '易言', '周笔畅', '张蔷', '理查德·克莱德曼', '方锦龙', '戴荃', '周深', '邓紫棋', '吴亦凡', '陈信宏', '蔡升晏', '石锦航', '温尚翊', '刘冠佑', '王禹', '方颂评', '肥皂菌', '陆二胡', '孟晓洁', '洛天依', '克丽希·克斯丹萨', '路卡·苏利克', '段汁', '赵兆']",[],"['歌舞', '真人秀']",['212'],[' 汉语普通话'],['30008'],[' 中国大陆']
['人间·喜剧'],['3.4'],['孙周'],"['艾伦', '王智', '鲁诺', '任达华', '金士杰', '潘斌龙', '周显欣', '九孔', '董立范', '史航', '罗京民']",[],['喜剧'],['90'],[' 汉语普通话'],['25984'],[' 中国大陆']
['掠食城市 Mortal Engines'],['6.4'],['克里斯蒂安·瑞沃斯'],"['海拉·西尔玛', '雨果·维文', '金智海', '罗伯特·席安', '莱拉·乔治', '史蒂芬·朗', '弗兰基·亚当斯', '凯伦·皮斯托里斯', '科林·萨蒙', '安德鲁斯·李斯', '莎拉·慕恩', '罗南·拉夫特瑞', '乔尔·托贝克', '帕特里克·麦拉海德', '史蒂芬·乌瑞', '马尼克·古纳拉塔尼', '菲利普·里夫', '纳撒尼尔·利斯', '雷吉-让·佩吉', '卡卢姆·吉廷斯', '安柚鑫', '马克·哈德洛', '马克米钦森', '索菲·考克斯', '莎拉·皮尔斯', '奇·陈', '约瑟夫·米卡-亨特', '特里·诺瑞斯', '安龙·杰克森', '梅根·爱德华兹', '尼克·布雷克', '玛丽亚·沃克', '阿曼·韦弗', '玛德琳·亚当斯', '马丁·郭', '罗德尼·库克']",['12'],"['动作', '科幻', '冒险']",['128'],[' 英语'],['52441'],[' 美国 / 新西兰']
['忌日快乐2 Happy Death Day 2U'],['6.6'],['克里斯托弗·兰登'],"['杰西卡·罗德', '伊瑟尔·布罗萨德', '露比·莫迪恩', '苏拉·沙玛', '史蒂夫·齐西斯', '瑞秋·马休斯', '查尔斯·艾特肯', '莎拉·亚金', '凯莱布·斯比尔亚兹', '吉吉·埃内塔', '劳拉·克利夫顿', '温迪·米克洛维奇', '凯勒布·拿奎恩', '肯尼斯·以色列', '泰内娅·因崔亚戈', '布莱恩·克恩', '川川', '卡瑞尔拉·史密斯', '罗布·梅洛', '林赛·G·史密斯', '飞·武', '莎拉·贝纳尼', '杰奎琳·哈里斯·马瑟恩', '西尔维娅·格雷丝·克里姆', '拉姆齐·安德森']",[],"['悬疑', '惊悚', '恐怖']",['100'],[' 英语'],['66934'],[' 美国']
['伦敦生活 National Theatre Live: Fleabag'],['8.9'],"['维姬·琼斯', 'Tony Grech-Smith']",['菲比·沃勒-布里奇'],[],['喜剧'],['107'],[' 英语'],['4163'],[' 英国']
['坏家伙们 나쁜 녀석들'],['6.6'],['孙容镐'],"['马东锡', '金相中', '金雅中', '张基龙', '姜艺媛']",[],"['动作', '犯罪']",['114'],[' 韩语'],['17268'],[' 韩国']
['鬼影特攻：以暴制暴 6 Underground'],['6.3'],['迈克尔·贝'],"['瑞恩·雷诺兹', '本·哈迪', '梅拉尼·罗兰', '阿德里娅·阿霍纳', '戴夫·弗兰科', '科里·霍金斯', '塞巴斯蒂安·罗奇', '曼努埃尔·加西亚-鲁尔福', '詹姆斯·莫瑞', '利奥·拉兹', '埃莱娜·卡多纳', '佩曼·莫阿迪', '尤里·科洛科利尼科夫', '金·柯尔德', '丹尼尔·阿德博伊加', '詹姆斯·卡罗尔·乔丹', '康斯坦丁·格雷戈里', '彼得·阿佩塞拉', '托多尔·乔丹诺夫', '里纳特·希什马塔林', '莉迪亚·佛朗哥', '罗杰·内瓦雷斯', '舒巴姆·沙拉夫']",[],"['动作', '惊悚']",['127'],[' 英语 / 土库曼语 / 粤语 / 意大利语 / 西班牙语 / 乌克兰语 / 法语'],['24314'],[' 美国']
['企鹅公路 ペンギン・ハイウェイ'],['7.8'],['石田祐康'],"['北香那', '苍井优', '钉宫理惠', '潘惠美', '福井美树', '能登麻美子', '久野美咲', '西岛秀俊', '竹中直人']",['08'],"['动画', '奇幻', '冒险']",['117'],[' 日语'],['35053'],[' 日本']
['女警 걸캅스'],['6.8'],['郑多元'],"['罗美兰', '李圣经', '尹相铉', '崔秀英', '廉惠兰', '魏化儁', '朱宇宰', '姜宏硕', '金道完', '安昌焕', '李贞敏', '朴素恩', '赵炳奎', '成东日', '河正宇', '安宰弘']",[],"['喜剧', '动作', '悬疑', '犯罪']",['107'],[' 韩语'],['21448'],[' 韩国']
['好人难寻 A Good Woman Is Hard to Find'],['6.4'],['阿布内尔·帕斯托尔'],"['莎拉·伯格', '爱德华·霍格', '安德鲁·辛普森']",[],"['动作', '惊悚']",['97'],[' 英语'],['1010'],[' 英国 / 比利时']
['游戏之夜 Game Night'],['7.1'],"['约翰·弗朗西斯·戴利', '乔纳森·M·戈尔茨坦']","['杰森·贝特曼', '瑞秋·麦克亚当斯', '凯尔·钱德勒', '莎朗·豪根', '比利·马格努森', '拉蒙尼·莫里斯', '凯莉·班伯里', '杰西·普莱蒙', '迈克尔·C·豪尔', '丹尼·赫斯顿', '切尔西·帕瑞蒂', '卡米利·陈', '泽瑞克·威廉姆斯', '约书亚·米克尔', 'R·F·戴利']",['02'],"['喜剧', '悬疑', '犯罪']",['100'],[' 英语'],['48911'],[' 美国']
['下一任：前任'],['2.8'],['陈鸿仪'],"['郭采洁', '郑恺', '李东学', '谢依霖', '刘心悠', '邱欣怡', '李荣浩', '蓝心湄', '林辰唏', '林美秀']",[],['爱情'],['99'],[' 汉语普通话'],['24025'],[' 中国台湾 / 中国大陆']
['长安道'],['6.1'],['李骏'],"['范伟', '宋洋', '焦俊艳', '陈数']",[],"['剧情', '悬疑', '犯罪']",['113'],[' 汉语普通话'],['38535'],[' 中国大陆']
['吹哨人'],['5.5'],['薛晓路'],"['雷佳音', '汤唯', '齐溪', '吴彦姝', '杨立新', '王策', '邢岷山', '陈创', '安地', '王茜', '付宏声']",[],"['剧情', '悬疑', '犯罪']",['139'],[' 汉语普通话'],['29011'],[' 中国大陆']
['摇摆狂潮 스윙키즈'],['8.2'],['姜炯哲'],"['都暻秀', '朴慧秀', '吴政世', '金民浩', '朴真珠', '白仁权', '杰瑞德·格里姆斯', '罗斯·凯特尔']",['12'],"['剧情', '歌舞', '战争']",['133'],[' 韩语'],['39815'],[' 韩国']
['特警队'],['5.2'],['丁晟'],"['凌潇肃', '贾乃亮', '金晨', '张云龙', '刘俊孝', '刘文擘', '蔡心', '王泊文', '常戎', '赵小锐', '那尔那茜', '唐羽翰', '丁一', '淳于珊珊', '罗伯特·克耐普', '桑平', '马浴柯', '乔振宇', '张亮']",[],['动作'],['109'],[' 汉语普通话'],['22109'],[' 中国大陆']
['英雄本色2018'],['4.7'],['丁晟'],"['王凯', '马天宇', '王大陆', '余皑磊', '林雪', '吴樾', '李梦', '张艺上', '姜珮瑶', '李岷城', '宁浩', '韩寒', '丁晟', '曾志伟']",['01'],"['剧情', '动作']",['114'],[' 汉语普通话'],['36318'],[' 中国大陆 / 中国香港']
['我们 Us'],['6.4'],['乔丹·皮尔'],"['露皮塔·尼永奥', '温斯顿·杜克', '伊丽莎白·莫斯', '蒂姆·海德克', '莎哈迪·赖特·约瑟夫', '伊万·艾利克斯', '叶海亚·阿卜杜勒-迈丁', '安娜·迪奥普', '卡莉·谢尔顿', '诺尔·谢尔顿', '麦迪逊·柯里', '纳皮埃拉·格罗夫斯', '杜克·尼科尔森', '内森·哈灵顿', '卡拉·海沃德']",[],"['悬疑', '惊悚']",['116'],[' 英语'],['62549'],[' 美国 / 日本 / 中国大陆']
['邻座的怪同学 となりの怪物くん'],['6.2'],['月川翔'],"['菅田将晖', '土屋太凤', '古川雄辉', '山田裕贵', '池田依来沙', '滨边美波', '佐野岳', '佐野史郎', '速水直道']",['04'],"['剧情', '喜剧', '爱情']",['105'],[' 日语'],['15206'],[' 日本']
['寄宿学校 Boarding School'],['7.3'],['鲍兹·亚金'],"['卢克·普拉尔', '斯特林·杰里斯', '威尔·帕顿', '科比·乔治', '卡丁·乔治', '尼古拉斯·J·奥利韦里', '萨曼莎·玛西丝', '罗伯特·约翰·伯克', '纳迪娅·亚历山大', '露西·沃特斯', '坦米·布兰查德', '大卫·阿隆·贝克']",['08'],"['悬疑', '恐怖']",['111'],[' 英语'],['45500'],[' 美国']
['安娜贝尔3：回家 Annabelle Comes Home'],['5.9'],['加里·多伯曼'],"['维拉·法米加', '帕特里克·威尔森', '麦肯娜·格瑞丝', '麦迪森·伊瑟曼', '凯蒂·萨里费', '迈克尔·西米诺', '萨马拉·李', '肯齐·卡普兰', '萨德·卡塔琳娜', '迈克尔·帕特里克·麦克吉尔', '布列塔尼·霍扎', '希拉·麦克兰', '埃迪·J.费尔南德斯', '斯蒂芬·考特尔', '卢卡·卢汉', '卢·卢·萨夫兰', '安东尼·威姆斯', '娜塔莉·萨福兰', '道格拉斯·泰特', '亚历山大·沃德', '艾米丽·布罗斯特']",[],"['悬疑', '惊悚', '恐怖']",['106'],[' 英语'],['22001'],[' 美国']
['把哥哥退货可以吗？ น้อง.พี่.ที่รัก'],['5.3'],['维塔亚·东俞扬'],"['桑尼·苏瓦美塔农', '尤拉萨雅·斯帕邦德', '尼查坤·抔勒威查固', '安楚义昂·布阿嘎育', '婵査勒姆·曼纳萨朋']",['05'],"['喜剧', '爱情']",['123'],[' 泰语 / 日语 / 英语'],['6251'],[' 泰国']
['幸福马上来'],['3.8'],"['冯巩', '崔俊杰']","['冯巩', '毛俊杰', '刘昊然', '牛莉', '贾玲', '张小斐', '岳云鹏', '姜宏波', '白凯南', '潘斌龙', '涂松岩', '宋宁', '梁天', '夏凡', '梁超']",['06'],['喜剧'],['91'],[' 汉语普通话'],['10332'],[' 中国大陆']
['铤而走险'],['6.0'],['甘剑宇'],"['大鹏', '欧豪', '李梦', '曹炳琨', '沙宝亮', '曹卫宇', '乌兰托雅·朵', '张宁江', '夏恩', '李晟烨']",[],"['剧情', '犯罪']",['103'],[' 汉语普通话'],['26192'],[' 中国大陆']
['地狱少女 地獄少女'],['4.8'],['白石晃士'],"['玉城蒂娜', '桥本爱实', '乐驱', '磨赤儿', '森七菜', '仁村纱和', '大场美奈', '片岡礼子', '成田瑛基', '藤田富', '波冈一喜']",[],['恐怖'],['107'],[' 日语'],['505'],[' 日本']
['肆式青春 詩季織々'],['5.6'],"['李豪凌', '易小星', '竹内良贵']","['坂泰斗', '寿美菜子', '白石晴香', '安元洋贵', '大冢刚央', '长谷川育美', '白客', '彭师欣', '唐雅菁', '陈颖晖', '梁达伟', '林美玉']",['08'],['动画'],['74'],[' 汉语普通话 / 日语 / 粤语 / 上海话'],['21655'],[' 日本 / 中国大陆']
['T-34坦克 T-34'],['7.7'],['阿列克赛·西多洛夫'],"['亚历山大·佩特罗夫', '文森兹·凯弗', '维克多·多勃朗拉沃夫', '伊琳娜·斯达申鲍姆', '西蒙·特列斯库诺夫', '尤里·鲍里索夫', '阿尔焦姆·贝斯特罗夫', '约书亚·格罗斯', '伊格·克里普诺夫', '彼得·斯科沃尔佐夫']",['12'],"['动作', '历史', '战争']",['139'],[' 俄语'],['15518'],[' 俄罗斯']
['超人之死 The Death of Superman'],['7.4'],"['杰克·卡斯托雷纳', '刘山姆']","['杰瑞·奥康奈尔', '丽贝卡·罗梅恩', '雷恩·威尔森', '罗莎里奥·道森', '内森·菲利安', '克里斯托弗·戈勒姆', '马特·兰特尔', '谢默·摩尔', '尼扬比·尼扬比', '杰森·奥玛拉', '乔纳森·亚当斯', '洛奇·卡罗尔', '特雷弗·德瓦', '保罗·伊丁', '帕特里克·法比安', '詹妮弗·黑尔', '马克斯·迈特尔曼', '托克斯·奥拉贡多耶']",['07'],"['动作', '科幻', '动画']",['81'],[' 英语'],['12162'],[' 美国']
['吾乃母亲 I Am Mother'],['7.3'],['格兰特·斯布托尔'],"['罗丝·伯恩', '克拉拉·卢嘉', '塔莉亚·斯图尔扎克', '希拉里·斯万克', '卢克·霍克', '马迪·莱顿', '沙漠·莱顿', '哈兹尔·桑德里', '雅各布·诺兰', '约翰尼·卡森', '乌比·戈德堡', '史蒂夫·马丁']",[],"['科幻', '惊悚']",['114'],[' 英语'],['15597'],[' 澳大利亚']
['游侠索罗：星球大战外传 Solo: A Star Wars Story'],['6.8'],['朗·霍华德'],"['阿尔登·埃伦瑞奇', '艾米莉亚·克拉克', '伍迪·哈里森', '唐纳德·格洛弗', '保罗·贝坦尼', '乔纳斯·索塔莫', '菲比·沃勒-布里奇', '沃维克·戴维斯', '坦迪·牛顿', '克林特·霍华德', '伊安·肯尼', '理查德·迪克森']","['05', '05']","['动作', '科幻', '冒险']",['135'],[' 英语'],['50857'],[' 美国']
['遇见你真好'],['4.7'],['顾长卫'],"['白客', '蓝盈莹', '张海宇', '周楚濋', '曹骏', '王玉雯', '蒋易', '李晨晖', '范明', '蒋雯丽']",['03'],"['剧情', '喜剧', '爱情']",['99'],[' 汉语普通话'],['22515'],[' 中国大陆']
['一百样东西 100 Dinge'],['7.3'],['弗洛里安·大卫·菲茨'],"['弗洛里安·大卫·菲茨', '马提亚斯·施维赫夫', '米里亚姆·斯坦因', '汉内洛勒·埃尔斯纳', '卡特琳娜·塔巴赫', '约翰尼斯·艾麦亚', '马克西米利安·梅耶-布雷泽内德', '玛利亚·佛万格勒', '沃尔夫冈·斯塔姆普', 'Sarah Victoria Frick', 'Artjom Gilz', '丹尼尔·弗利格', 'Milo Eisenblätter', 'Nora Boeckler']",['12'],['喜剧'],['111'],[' 德语 / 英语 / 芬兰语'],['7001'],[' 德国']
['蓝色生死恋'],['2.9'],['王才涛'],"['许凯', '赵露思', '焦睿', '梁婧娴', '孟美岐', '张檬', '何明翰', '张秋歌', '杨大鹏']",[],['爱情'],['104'],[' 汉语普通话'],['5917'],[' 中国大陆']
['轮到你了 特别篇 あなたの番です 特別編'],['8.0'],[],"['原田知世', '田中圭', '浅香航大', '皆川猿时']",[],"['剧情', '悬疑']",['45'],[' 日语'],['23795'],[' 日本']
['阿基米德大战 アルキメデスの大戦'],['7.5'],['山崎贵'],"['菅田将晖', '馆博', '滨边美波', '柄本佑', '小林克也', '小日向文世', '国村隼', '桥爪功', '田中泯']",[],"['剧情', '战争']",['130'],[' 日语'],['7541'],[' 日本']
"['伯纳黛特你去了哪 Where&#39;d You Go, Bernadette']",['7.5'],['理查德·林克莱特'],"['凯特·布兰切特', '朱迪·格雷尔', '克里斯汀·韦格', '劳伦斯·菲什伯恩', '特罗伊安·艾夫瑞·贝利萨里奥', '比利·克鲁德普', '约翰内斯·豪克尔·约翰内森', '詹姆斯·乌尔班尼亚克', '凯特·伊斯顿', '理查德·罗比查乌克斯', '艾玛·尼尔森', '李·哈林顿', '理查德·巴洛', '威廉·卡尼亚', '克劳迪娅·多米特', 'Zoe Chao', 'Lana Young', 'Katelyn Statton', 'Zachary Davis Brown']",[],"['剧情', '喜剧']",['109'],[' 英语'],['13213'],[' 美国']
['自杀小队：严厉惩罚 Suicide Squad: Hell to Pay'],['7.4'],['刘山姆'],"['克里斯蒂安·史莱特', '凡妮莎·威廉斯', '比利·布朗', '克里斯汀·鲍尔', '吉迪恩·埃默里', '连姆·麦肯泰尔', '塔拉·斯特朗', '大卫·博特', '特雷弗·德瓦', '戴夫·芬诺伊', '格雷戈·格伦伯格', 'C·托马斯·豪威尔', '茜丝·琼斯', '娜塔莉·兰德', '马修·默瑟', '朱莉·内桑森', '吉姆·皮里', '丹妮亚·拉米雷兹', '詹姆斯·乌尔班尼亚克']",['04'],"['动作', '动画']",['86'],[' 英语'],['12332'],[' 美国']
['夜以继日 寝ても覚めても'],['7.4'],['滨口龙介'],"['东出昌大', '唐田英里佳', '濑户康史', '山下莉绪', '伊藤沙莉', '渡边大知', '仲本工事', '田中美佐子']","['05', '09']","['剧情', '爱情']",['119'],[' 日语'],['20375'],[' 日本 / 法国']
['最普通的恋爱 가장보통의 연애'],['7.2'],['金涵潔'],"['金来沅', '孔晓振', '姜其永', '郑雄仁', '张素妍', '周敏京', '吴东旻', '裴贤圣', '李在恩', '郑惠莲', '孙武铉', '朴根祿']",[],"['喜剧', '爱情']",['109'],[' 韩语'],['10157'],[' 韩国']
['低压槽：欲望之城 低壓槽'],['4.4'],['张家辉'],"['张家辉', '徐静蕾', '何炅', '余男', '苗侨伟', '元华', '林雪', '张可颐']",['04'],"['剧情', '动作', '悬疑', '犯罪']",['112'],[' 汉语普通话 / 粤语 / 英语 / 泰语'],['14690'],[' 中国大陆 / 中国香港']
['过昭关'],['7.8'],['霍猛'],"['杨太义', '李云虎 ', '万众 ', '聂栋才 ']",['10'],"['剧情', '家庭', '儿童']",['93'],[' 河南方言'],['9961'],[' 中国大陆']
['偷心女盗 The Hustle'],['5.8'],['克里斯·艾迪生'],"['安妮·海瑟薇', '蕾蓓尔·威尔森', '蒂姆·布雷克·尼尔森', '艾利克斯·夏普', '罗非洛·迪格托勒', '迪诺·布加迪', '布鲁诺·塞维利亚', '克里斯多夫·德·舒瓦西', '菲利普·德斯穆尔斯', '库姆德·潘特', '塞缪尔·加斯帕德']",[],['喜剧'],['93'],[' 英语'],['18214'],[' 美国']
['我说的都是真的'],['4.8'],['刘仪伟'],"['小沈阳', '陈意涵', '吴樾', '连凯', '罗海琼', '李易祥', '朱云峰', '刘仪伟']",['03'],"['喜剧', '动作', '悬疑']",['99'],[' 汉语普通话'],['9182'],[' 中国大陆']
['鬼灭之刃 兄妹的羁绊 鬼滅の刃 兄妹の絆'],['9.1'],['外崎春雄'],"['大塚芳忠', '梶裕贵', '加隈亚衣', '冈本信彦', '森川智之', '浪川大辅', '山崎巧', '绿川光', '子安武人', '井泽诗织', '悠木碧']",[],"['动作', '动画', '惊悚', '奇幻']",['113'],[' 日语'],['9876'],[' 日本']
['在京都小住 ちょこっと京都に住んでみた。'],['8.1'],['吉见拓真  '],"['木村文乃', '近藤正臣']",[],"['剧情', '家庭']",['74'],[' 日语'],['5322'],[' 日本']
['巴尔干边界 Балканский рубеж'],['7.2'],['安德烈·沃金'],"['安东·庞布施尼', '尤里·库琴科', '米洛斯·比柯维奇', '米莱纳拉·德罗维奇', '拉芙珊娜·库珂娃', '阿勒克山达·斯雷科维奇', '乔基科·米提克', '德米特里·弗里德', '米奥德拉格·拉多尼奇', '埃米尔·库斯图里卡', '谢尔盖·马林', '尼基塔·科洛格利维', '罗曼·库特辛', '亚历山大·拉多伊契奇', '埃菲姆·彼得鲁宁', '安瓦尔·哈里路拉耶夫', '瓦西利萨·涅姆科娃']",[],"['动作', '战争']",['151'],[' 俄语 / 塞尔维亚语 / 英语'],['10855'],[' 俄罗斯 / 塞尔维亚']
['衣柜里的冒险王 The Extraordinary Journey of The Fakir'],['7.0'],['肯·斯科特'],"['丹努什', '贝热尼丝·贝乔', '艾琳·莫里亚蒂', '巴克德·阿巴蒂', '热拉尔·朱尼奥', '本·米勒', '阿贝尔·贾夫里', '莎拉·珍妮·拉布罗丝', '凯·葛利丹努', '阿姆鲁塔·桑特', '希玛·比斯瓦斯', '克里斯蒂安·布朗查特', '斯特凡诺·卡塞蒂', '乌瓦曼古·科内利斯', '甘达夫·德万', '埃德温·吉莱特', '奥姆卡·凯特卡', '波林·马雷查尔', '丹尼勒·尼西', '哈蒂·辛格', '玛尔·索度佩']",['05'],"['喜剧', '冒险']",['92'],[' 英语 / 印度语'],['7749'],[' 法国 / 印度']
['迪丽丽的奇幻巴黎 Dilili à Paris'],['7.9'],['米歇尔·欧斯洛'],"['普鲁内尔·查尔斯·安布隆', '恩佐·拉齐托', '纳塔莉·德赛', '布鲁诺·帕维奥', '杰里米·洛佩兹', '哈里森·阿雷瓦洛', '尼古拉斯·潘切瓦', '蒂莎·达维拉·本萨拉', '米歇尔·伊莱亚斯', '帕斯卡尔·佩斯特尔', '保罗·班迪', '伊莎贝尔·嘉德', '莉莲娜·罗维埃', '卡里姆·姆里巴', '奥利维耶·克拉弗里', '伊丽莎白·杜达']","['06', '10']",['动画'],['94'],[' 法语'],['4704'],[' 法国 / 比利时 / 德国']
