电影名,评分,导演,演员,月份,类型,时长,语言,评论数,地区
['大象席地而坐'],['8.1'],['胡波'],"['彭昱畅', '章宇', '王玉雯', '李从喜', '董向荣', '王柠', '赵燕国彰', '朱颜曼滋', '凌正辉', '王超北', '王雪洋']",['02'],['剧情'],['234'],[' 汉语普通话'],['121713'],[' 中国大陆']
['多哥 Togo'],['8.8'],['埃里克松·科尔'],"['威廉·达福', '朱丽安妮·尼科尔森', '克里斯托弗·赫耶达尔', '理查德·多默', '阿德里安·多瓦尔', '玛德琳·威金斯', '麦克尔·格雷耶斯', '妮维·尼尔森', '尼古拉·尼克拉斐', '托尔比约恩·哈尔', '凯瑟琳·麦格雷戈', '迈克尔·麦克埃尔哈顿', '保罗·皮斯科斯基', '迈克尔·加斯顿', '肖恩·本森', '杰米·麦克沙恩', '巴布·米切尔', '大卫·博特', '杰夫·汉尼']",[],"['剧情', '冒险']",['113'],[' 英语'],['44976'],[' 美国']
['扫毒2天地对决 掃毒2：天地對決'],['6.0'],['邱礼涛'],"['刘德华', '古天乐', '苗侨伟', '林嘉欣', '周秀娜', '应采儿', '陈家乐', '卫诗雅', '郑则仕', '张国强', '陈佩诗', '狼森', '欧阳靖', '恭硕良', '林家栋', '李赏', '张竣杰', '李灿森', '谭小环']",[],"['剧情', '动作', '悬疑', '犯罪']",['99'],[' 汉语普通话 / 粤语'],['203455'],[' 中国大陆 / 中国香港']
['爱尔兰人 The Irishman'],['8.8'],['马丁·斯科塞斯'],"['罗伯特·德尼罗', '阿尔·帕西诺', '乔·佩西', '安娜·帕奎因', '杰西·普莱蒙', '哈威·凯特尔', '斯蒂芬·格拉汉姆', '鲍比·坎纳瓦尔', '杰克·休斯顿', '阿莱卡萨·帕拉迪诺', '凯瑟琳·纳杜奇', '多米尼克·隆巴多兹', '雷·罗马诺', '塞巴斯蒂安·马尼斯科', '杰克·霍夫曼', '保罗·本-维克托', '斯蒂芬妮·库尔特祖巴', '莎伦·菲弗', '路易斯·坎瑟米', '茵迪亚·恩能加', 'J.C.麦肯泽', '巴里·普赖默斯', '吉姆·诺顿', '盖里·巴萨拉巴', '玛格丽特·安妮·佛罗伦斯', '约翰·斯库蒂', '约翰·塞纳迭姆博', '大卫·阿隆·贝克', '桃乐丝·麦卡锡', '凯文·凯恩', '加里·帕斯托雷', '约瑟夫·罗素', '凯文·奥罗克', '娜塔莎·罗曼诺娃', '杰里米·卢克', '凯莉·P·威廉姆斯', '詹妮弗·马奇', '保罗·鲍格才', '蒂姆·内夫', '斯蒂芬·梅尔勒', '克雷格·文森特', '比利·史密斯', '布莱斯·科里根', '斯泰西·爱丽丝·科恩', '吉诺·卡法雷利', '拉里·罗曼诺', '罗伯特·富纳罗', '维罗妮卡·阿利奇诺', '克劳黛特·拉利', '詹姆斯·洛林兹', '阿什莉·诺斯', '肯·斯拉迪克', '帕特里克·加洛']",[],"['剧情', '传记', '犯罪']",['209'],[' 英语 / 意大利语 / 拉丁语 / 西班牙语'],['185794'],[' 美国']
['被光抓走的人'],['6.9'],['董润年'],"['黄渤', '王珞丹', '谭卓', '白客', '黄璐', '文淇', '焦俊艳', '宋春丽', '李嘉琪', '丁溪鹤', '吕星辰', '黄觉', '李倩', '王菊', '李诞', '金靖承', '曹炳琨', '张腾岳', '田壮壮', '刘頔']",[],"['剧情', '爱情', '科幻']",['131'],[' 汉语普通话'],['142909'],[' 中国大陆']
['瞒天过海：美人计 Ocean&#39;s Eight'],['6.7'],['盖瑞·罗斯'],"['桑德拉·布洛克', '凯特·布兰切特', '安妮·海瑟薇', '海伦娜·伯翰·卡特', '蕾哈娜', '莎拉·保罗森', '敏迪·卡灵', '奥卡菲娜', '詹姆斯·柯登', '理查德·阿米蒂奇', '格里芬·邓恩', '迪德尔·古德温', '丹尼埃拉·拉贝尼', '埃利奥特·古尔德', '夏洛特·柯克', '达科塔·范宁', '理查德·罗比查乌克斯', '达米安·杨', '戈登·格里克', '凯特琳·梅纳', '詹姆斯·比贝里', '香农·弗雷尔', '康纳尔·多诺万', '凯文·布朗', '马尔洛·托马斯', '丹娜·爱薇', '玛丽·路易丝·威尔逊', '伊丽莎白·阿什利', '凯蒂·霍尔姆斯', '肯多尔·詹娜', '凯莉·詹娜', '金·卡戴珊']",['06'],"['喜剧', '犯罪']",['110'],[' 英语 / 印地语 / 法语 / 德语 / 汉语普通话'],['203597'],[' 美国']
['爱情公寓'],['3.1'],['韦正'],"['陈赫', '袁弘', '娄艺潇', '邓家佳', '孙艺洲', '李佳航', '李金铭', '刘天佐', '赵志伟', '张双利', '徐磊', '韦正', '汪远', '朱桢', '于立', '榕榕', '罗姝涵', '许和琪', '刘雨昕', '张希雅', '孔雪儿', '关凯元', '张悠然', '周煊', '丧钟大师', '老驴', '张天馨', '刘宇馨', '陈旭明', '王思博', '赵子豪', '杨朕', '郝宇', '徐梦洁', '常钰', '韩丹', '严丰', '郭林钧']",['08'],"['喜剧', '冒险']",['117'],[' 汉语普通话'],['229943'],[' 中国大陆']
['恶人传 악인전'],['7.7'],['李元泰'],"['马东锡', '金武烈', '金成圭', '刘承睦', '崔民哲', '金胤成', '许栋元', '吴熙俊', '杨志洙', '金洁', '李恩泉', '刘在明']",[],"['剧情', '动作', '犯罪']",['109'],[' 韩语'],['193288'],[' 韩国']
['好莱坞往事 Once Upon a Time... in Hollywood'],['7.3'],['昆汀·塔伦蒂诺'],"['莱昂纳多·迪卡普里奥', '布拉德·皮特', '玛格特·罗比', '埃米尔·赫斯基', '玛格丽特·库里', '蒂莫西·奥利芬特', '茱莉亚·巴特斯', '奥斯汀·巴特勒', '达科塔·范宁', '布鲁斯·邓恩', '麦克·莫', '卢克·贝里', '戴米恩·路易斯', '库尔特·拉塞尔', '阿尔·帕西诺', '玛雅·霍克', '西德妮·斯威尼', '哈莉·奎恩·史密斯', '达蒙·海瑞曼', '凯特·贝兰特', '洛伦扎·伊佐', '迈克尔·马德森', '拉莫·威利斯', '斯科特·麦克纳里', '小克利夫顿·克林斯', '维多利亚·佩德雷蒂', '吕蓓卡·盖哈特', '佐伊·贝尔', '莱斯利·贝加', '瑞贝卡·瑞滕豪斯', '萨曼莎·罗宾森', '莉娜·邓纳姆', '德瑞玛·沃克', '克鲁·古拉格', '丹妮拉·皮克', '布伦达·瓦卡罗', '尼古拉斯·哈蒙德', '米奇·麦迪森', '詹姆斯·兰德里·赫伯特', '妮可·加利西亚', '麦迪逊·贝蒂', '佩内洛普·卡普迪雅', '莫里斯·孔特', '科斯塔·罗宁', '卢·坦普尔', '斯宾塞·加雷特', '布丽安娜·乔伊·乔默', '奥玛·杜姆', '娜塔莉·科恩', '拉法尔·扎维鲁查', '马尔科·罗德里格斯', '堪萨丝·宝琳', '维森特·拉雷斯卡', '殷巴尔·阿米拉夫', '拉蒙·弗兰克', '莫妮卡·斯塔吉丝', '克雷格·斯塔克', '大卫·斯廷', '朱丽叶·吉达', '埃迪·佩雷斯', '布蕾迪·拉多娜', '凯拉·拉多姆斯基', '布里安娜·温', '卡萝莱娜·瓦加斯', '加里·派怀特']",[],"['剧情', '喜剧']",['165'],[' 英语 / 意大利语 / 西班牙语'],['169539'],[' 美国 / 英国 / 中国大陆']
['给我翅膀 Donne-moi des ailes'],['8.6'],['尼古拉·瓦尼埃'],"['让-保罗·卢弗', '梅拉妮·杜泰', '路尔斯·瓦兹奎兹', '弗雷德里克·索雷尔', '丽露·弗格利', '葛里高利·巴奎特', '多米尼克·皮侬', '费利佩·曼吉安', '阿丽安·皮瑞', '克里斯汀·布雷康尼尔', '西里尔·内克尔', '塞德里克·梅斯伯格', '米里耶勒·休伊特·奥奈', '雅克·热尔曼', '马蒂厄·瓦尔特', '英加·海尔格·吉姆勒']",[],['冒险'],['113'],[' 法语'],['5630'],[' 法国']
