[' 日本 / 法国'],['滨口龙介'],['119'],"['05', '09']","['东出昌大', '唐田英里佳', '濑户康史', '山下莉绪', '伊藤沙莉', '渡边大知', '仲本工事', '田中美佐子']",['夜以继日 寝ても覚めても'],"['剧情', '爱情']",['7.4'],['20375'],[' 日语']
[' 日本'],['箱田优子'],['92'],[],"['夏帆', '沈恩京', '渡边大知', '中山裕介', '黑田大辅', '岛田久作', '南果步']",['在蓝色时分飞翔 ブルーアワーにぶっ飛ばす'],['剧情'],['7.2'],['1557'],[' 日语']
[' 日本'],['今泉力哉'],['123'],['10'],"['岸井雪乃', '成田凌']",['爱情是什么 愛がなんだ'],"['剧情', '爱情']",['7.1'],['5873'],[' 日语']
[' 日本'],['盐谷直义'],['59'],[],"['野岛健儿', '佐仓绫音', '弓场沙织', '平井祥惠', '冈宽惠', '小山力也', '齐藤贵美子', '多田野曜平', '中川庆一', '花泽香菜', '东地宏树', '樱井孝宏', '伊藤静', '泽城美雪']",['心理测量者SS1：罪与罚 PSYCHO-PASS サイコパス Sinners of the System Case.1「罪と罰」'],"['动作', '动画', '犯罪']",['7.1'],['2907'],[' 日语']
[' 日本'],['盐田明彦'],['116'],[],"['小松菜奈', '门胁麦', '成田凌', '筱山辉信', '松本真里香', '新谷YUZUMI', '日高麻铃', '青柳尊哉', '松浦祐也', '筱原友希子', '槙田雄司']",['再见，嘴唇 さよならくちびる'],['音乐'],['7.1'],['4603'],[' 日语']
[' 日本'],['新海诚'],['111'],[],"['醍醐虎汰朗', '森七菜', '小栗旬', '本田翼', '倍赏千惠子', '吉柳咲良', '平泉成', '梶裕贵', '木村良平', '柴田秀胜', '野泽雅子', '花泽香菜', '佐仓绫音']",['天气之子 天気の子'],"['爱情', '动画', '奇幻']",['7.1'],['178180'],[' 日语']
[' 日本'],['荒井晴彦'],['115'],[],"['柄本佑', '泷内公美']",['火口的两人 火口のふたり'],['爱情'],['7.1'],['23364'],[' 日语']
[' 日本'],['佐藤信介'],['127'],['04'],"['木梨宪武', '佐藤健', '本乡奏多', '二阶堂富美', '三吉彩花', '福崎那由他', '滨田麻里', '齐藤由贵', '伊势谷友介']",['犬屋敷 真人版 いぬやしき'],"['动作', '科幻']",['6.7'],['9246'],[' 日语']
[' 日本'],['三谷幸喜'],['127'],[],"['中井贵一', '藤冈靛', '石田百合子', '草刈正雄', '佐藤浩市', '小池荣子', '齐藤由贵', '木村佳乃', '梶原善']",['不存在于记忆中 記憶にございません！'],"['剧情', '喜剧']",['6.7'],['1616'],[' 日语']
[' 日本'],['李斗士男'],['115'],['06'],"['荣仓奈奈', '安田显', '大谷亮平', '野野澄花', '浅野和之', '品川彻', '萤雪次朗']",['每天回家都会看到老婆在装死 家に帰ると妻が必ず死んだふりをしています。'],['喜剧'],['6.7'],['8355'],[' 日语']
[' 日本'],['石川庆'],['118'],[],"['松冈茉优', '松坂桃李', '森崎温', '铃鹿央士', '臼田麻美', '千惠巳知惠美', '福岛莉拉', '真岛秀和', '片桐入', '光石研', '平田满', '齐藤由贵', '鹿贺丈史']",['蜜蜂与远雷 蜜蜂と遠雷'],"['剧情', '音乐']",['6.6'],['1856'],[' 日语']
[' 日本'],['中江和仁'],['118'],['01'],"['长泽雅美', '高桥一生', '内藤大湖', '川荣李奈', '黑木瞳', '吉田钢太郎']",['爱上谎言的女人 嘘を愛する女'],"['剧情', '悬疑']",['6.4'],['6670'],[' 日语']
[' 美国 / 日本 / 中国大陆'],['乔丹·皮尔'],['116'],[],"['露皮塔·尼永奥', '温斯顿·杜克', '伊丽莎白·莫斯', '蒂姆·海德克', '莎哈迪·赖特·约瑟夫', '伊万·艾利克斯', '叶海亚·阿卜杜勒-迈丁', '安娜·迪奥普', '卡莉·谢尔顿', '诺尔·谢尔顿', '麦迪逊·柯里', '纳皮埃拉·格罗夫斯', '杜克·尼科尔森', '内森·哈灵顿', '卡拉·海沃德']",['我们 Us'],"['悬疑', '惊悚']",['6.4'],['62549'],[' 英语']
[' 日本'],['山户结希'],['119'],[],"['堀未央奈', '清水寻也', '板垣瑞生', '间宫祥太朗', '樱田日和', '上村海成', '吉川爱', '志磨辽平', '黑泽明日香', '高桥和也', '反町隆史', '吉冈里帆']",['热情花招 ホットギミック ガールミーツボーイ'],['剧情'],['6.3'],['1281'],[' 日语']
[' 日本'],['月川翔'],['105'],['04'],"['菅田将晖', '土屋太凤', '古川雄辉', '山田裕贵', '池田依来沙', '滨边美波', '佐野岳', '佐野史郎', '速水直道']",['邻座的怪同学 となりの怪物くん'],"['剧情', '喜剧', '爱情']",['6.2'],['15206'],[' 日语']
[' 日本'],['三浦大辅'],['119'],['04'],"['松坂桃李', '真飞圣', '富手麻妙', '猪塚健太', '樱井由纪', '小柳友', '马渕英俚可', '荻野友里', '佐佐木心音', '大谷麻衣', '阶户瑠李', '西冈德马', '江波杏子']",['娼年'],"['爱情', '情色']",['5.8'],['13756'],[' 日语']
[' 日本 / 中国大陆'],"['李豪凌', '易小星', '竹内良贵']",['74'],['08'],"['坂泰斗', '寿美菜子', '白石晴香', '安元洋贵', '大冢刚央', '长谷川育美', '白客', '彭师欣', '唐雅菁', '陈颖晖', '梁达伟', '林美玉']",['肆式青春 詩季織々'],['动画'],['5.6'],['21655'],[' 汉语普通话 / 日语 / 粤语 / 上海话']
[' 日本'],['百濑义行'],['106'],[],"['山崎贤人', '新田真剑佑', '永野芽郁', '宫野真守', '津田健次郎', '坂本真绫', '山寺宏一', '梶裕贵', '伊武雅刀', '室毅']",['二之国 二ノ国'],['动画'],['5.4'],['479'],[' 日语']
[' 日本'],['白石晃士'],['107'],[],"['玉城蒂娜', '桥本爱实', '乐驱', '磨赤儿', '森七菜', '仁村纱和', '大场美奈', '片岡礼子', '成田瑛基', '藤田富', '波冈一喜']",['地狱少女 地獄少女'],['恐怖'],['4.8'],['505'],[' 日语']
